iter	Passed	Remaining
0	2	2405
1	3	1720
2	4	1525
3	5	1408
4	6	1349
5	7	1313
6	9	1278
7	10	1240
8	11	1236
9	12	1219
10	13	1207
11	14	1200
12	15	1191
13	16	1181
14	18	1182
15	19	1177
16	20	1167
17	21	1162
18	22	1157
19	23	1149
20	24	1151
21	25	1145
22	26	1138
23	27	1133
24	29	1131
25	30	1134
26	31	1130
27	32	1126
28	33	1125
29	34	1124
30	35	1122
31	37	1122
32	38	1120
33	39	1118
34	40	1117
35	41	1116
36	43	1122
37	44	1117
38	45	1114
39	46	1111
40	47	1108
41	48	1105
42	49	1103
43	50	1101
44	51	1098
45	52	1095
46	53	1092
47	55	1090
48	56	1087
49	57	1084
50	58	1081
51	59	1091
52	60	1088
53	62	1087
54	63	1085
55	64	1085
56	65	1084
57	66	1084
58	67	1082
59	68	1078
60	70	1078
61	71	1081
62	72	1080
63	73	1080
64	74	1077
65	75	1075
66	77	1075
67	78	1073
68	79	1071
69	80	1075
70	82	1080
71	83	1080
72	85	1081
73	86	1081
74	87	1083
75	88	1081
76	90	1080
77	91	1077
78	92	1075
79	93	1073
80	94	1073
81	95	1072
82	97	1071
83	98	1070
84	99	1069
85	100	1072
86	102	1071
87	103	1070
88	104	1068
89	105	1066
90	106	1066
91	107	1064
92	109	1063
93	110	1062
94	111	1065
95	113	1064
96	114	1063
97	115	1064
98	117	1065
99	119	1072
100	120	1072
101	121	1072
102	123	1072
103	124	1071
104	125	1069
105	126	1067
106	127	1065
107	128	1064
108	129	1062
109	131	1061
110	132	1059
111	133	1058
112	134	1056
113	135	1054
114	136	1052
115	138	1052
116	139	1051
117	140	1049
118	141	1048
119	142	1046
120	143	1044
121	144	1043
122	146	1041
123	147	1039
124	148	1038
125	149	1037
126	150	1035
127	152	1038
128	153	1036
129	154	1035
130	155	1033
131	156	1032
132	158	1030
133	159	1029
134	160	1027
135	161	1025
136	162	1024
137	163	1022
138	164	1020
139	165	1018
140	166	1016
141	167	1015
142	168	1012
143	170	1011
144	171	1009
145	172	1007
146	173	1005
147	174	1003
148	175	1002
149	176	1001
150	177	999
151	178	997
152	180	996
153	181	994
154	182	993
155	183	991
156	184	989
157	185	988
158	186	986
159	187	986
160	189	986
161	190	985
162	191	983
163	192	982
164	193	980
165	194	979
166	196	977
167	197	976
168	198	974
169	199	972
170	200	972
171	201	970
172	202	969
173	203	968
174	205	966
175	206	965
176	207	963
177	208	962
178	209	960
179	210	958
180	211	957
181	212	955
182	213	955
183	215	953
184	216	952
185	217	951
186	218	949
187	219	947
188	220	947
189	221	945
190	222	944
191	224	944
192	226	945
193	227	945
194	228	943
195	229	942
196	230	940
197	231	939
198	232	937
199	233	935
200	235	934
201	236	933
202	237	932
203	238	930
204	239	929
205	240	928
206	241	926
207	243	925
208	244	923
209	245	922
210	246	920
211	247	919
212	248	917
213	249	916
214	250	914
215	251	912
216	252	911
217	253	909
218	254	907
219	256	908
220	257	907
221	258	906
222	259	905
223	260	904
224	262	902
225	263	901
226	264	900
227	265	899
228	267	898
229	268	897
230	269	896
231	270	895
232	271	893
233	272	892
234	273	890
235	274	889
236	275	888
237	276	886
238	277	885
239	279	883
240	280	882
241	281	882
242	282	881
243	284	881
244	285	880
245	286	878
246	287	877
247	288	875
248	290	874
249	291	875
250	292	873
251	294	872
252	295	871
253	296	870
254	297	868
255	298	867
256	299	866
257	300	865
258	301	863
259	303	862
260	304	861
261	305	860
262	306	858
263	307	857
264	308	856
265	309	855
266	310	853
267	312	852
268	313	850
269	314	849
270	315	848
271	316	846
272	317	845
273	318	844
274	319	843
275	321	842
276	322	840
277	323	839
278	324	838
279	325	836
280	326	835
281	327	834
282	328	832
283	329	831
284	330	829
285	332	828
286	333	827
287	334	826
288	335	824
289	336	823
290	337	822
291	339	822
292	340	821
293	341	820
294	342	819
295	343	817
296	344	816
297	346	815
298	347	813
299	348	812
300	349	811
301	350	810
302	351	808
303	352	807
304	354	806
305	355	805
306	356	804
307	357	803
308	358	801
309	359	800
310	360	799
311	361	798
312	362	796
313	363	795
314	365	793
315	366	792
316	367	791
317	368	789
318	369	788
319	370	787
320	371	785
321	372	784
322	373	782
323	374	781
324	375	779
325	376	778
326	377	777
